,ID2,ID,State,Sex,Start,End,COD,Days.Monitored,Year_Status,Survival,Status_clean
74,GA20M,"[GA20M,Intercept]",GA,M,2/3/2015,2/15/2015,Distemper,12,Dead,0,transient
2,AL02M,"[AL02M,Intercept]",AL,M,2/8/2015,5/21/2015,Harvested,102,Dead,0,resident
4,AL04M,"[AL04M,Intercept]",AL,M,2/7/2015,9/9/2015,Harvested,214,Dead,0,transient
5,AL05M,"[AL05M,Intercept]",AL,M,2/4/2015,12/28/2015,Harvested,327,Dead,0,transient
6,AL06F,"[AL06F,Intercept]",AL,F,2/5/2015,9/1/2015,Harvested,208,Dead,0,transient
10,AL10F,"[AL10F,Intercept]",AL,F,2/8/2015,5/14/2015,Harvested,95,Dead,0,resident
11,AL11M,"[AL11M,Intercept]",AL,M,2/3/2015,1/1/2016,Harvested,332,Dead,0,resident
14,AL14M,"[AL14M,Intercept]",AL,M,2/6/2015,3/1/2016,Harvested,389,Dead,0,both
16,AL16F,"[AL16F,Intercept]",AL,F,2/11/2015,7/19/2016,Harvested,524,Dead,0,resident
17,AL17F,"[AL17F,Intercept]",AL,M,2/15/2015,11/23/2015,Harvested,281,Dead,0,both
19,AL19F,"[AL19F,Intercept]",AL,F,2/13/2015,1/2/2016,Harvested,323,Dead,0,resident
20,AL20M,"[AL20M,Intercept]",AL,M,2/11/2015,12/5/2015,Harvested,297,Dead,0,resident
22,AL22M,"[AL22M,Intercept]",AL,M,2/13/2015,8/7/2015,Harvested,175,Dead,0,both
23,AL23M,"[AL23M,Intercept]",AL,M,2/15/2015,9/1/2015,Harvested,198,Dead,0,resident
25,AL25M,"[AL25M,Intercept]",AL,M,2/16/2015,2/25/2015,Harvested,9,Dead,0,unknown
31,AL31F,"[AL31F,Intercept]",AL,F,10/21/2015,3/15/2016,Harvested,146,Dead,0,both
32,AL32M,"[AL32M,Intercept]",AL,M,10/22/2015,5/31/2016,Harvested,222,Dead,0,both
35,AL35M,"[AL35M,Intercept]",AL,M,10/23/2015,1/25/2016,Harvested,94,Dead,0,resident
36,AL36M,"[AL36M,Intercept]",AL,M,10/23/2015,5/20/2016,Harvested,210,Dead,0,resident
37,AL37F,"[AL37F,Intercept]",AL,F,10/23/2015,6/30/2016,Harvested,251,Dead,0,both
40,AL40M,"[AL40M,Intercept]",AL,M,10/24/2015,1/25/2016,Harvested,93,Dead,0,resident
43,AL43F,"[AL43F,Intercept]",AL,F,10/25/2015,11/29/2015,Harvested,35,Dead,0,unknown
44,AL44M,"[AL44M,Intercept]",AL,M,10/26/2015,1/18/2016,Harvested,84,Dead,0,resident
45,AL45F,"[AL45F,Intercept]",AL,F,10/26/2015,11/4/2015,Harvested,9,Dead,0,resident
50,AL50F,"[AL50F,Intercept]",AL,F,10/29/2015,7/7/2016,Harvested,252,Dead,0,resident
53,AL53M,"[AL53M,Intercept]",AL,M,10/29/2015,4/29/2016,Harvested,183,Dead,0,both
55,GA01F,"[GA01F,Intercept]",GA,F,2/10/2015,11/5/2015,Harvested,268,Dead,0,transient
57,GA03F,"[GA03F,Intercept]",GA,F,2/5/2015,9/25/2015,Harvested,232,Dead,0,resident
60,GA06F,"[GA06F,Intercept]",GA,F,1/19/2015,4/23/2015,Harvested,94,Dead,0,transient
62,GA08F,"[GA08F,Intercept]",GA,F,2/4/2015,7/27/2016,Harvested,539,Dead,0,resident
63,GA09M,"[GA09M,Intercept]",GA,M,1/26/2015,3/17/2016,Harvested,416,Dead,0,both
64,GA10M,"[GA10M,Intercept]",GA,M,2/5/2015,9/17/2015,Harvested,224,Dead,0,transient
66,GA12F,"[GA12F,Intercept]",GA,F,1/20/2015,3/23/2015,Harvested,62,Dead,0,transient
67,GA13F,"[GA13F,Intercept]",GA,F,1/21/2015,1/10/2016,Harvested,354,Dead,0,resident
69,GA15M,"[GA15M,Intercept]",GA,F,2/5/2015,11/10/2015,Harvested,278,Dead,0,transient
70,GA16F,"[GA16F,Intercept]",GA,F,2/4/2015,5/27/2015,Harvested,112,Dead,0,transient
77,GA23F,"[GA23F,Intercept]",GA,F,1/22/2015,1/3/2016,Harvested,346,Dead,0,resident
78,GA24F,"[GA24F,Intercept]",GA,F,2/3/2015,5/13/2015,Harvested,99,Dead,0,resident
82,GA28F,"[GA28F,Intercept]",GA,F,1/25/2016,5/25/2016,Harvested,121,Dead,0,transient
83,GA29M,"[GA29M,Intercept]",GA,M,1/26/2016,1/28/2016,Harvested,2,Dead,-99,unknown
84,GA30F,"[GA30F,Intercept]",GA,F,1/26/2016,12/25/2016,Harvested,334,Dead,0,resident
